

10 | 458101, 
11 | 478071, 
12 | 424741, 
13 | 418848, 
14 | 434520, 
15 | 406621, 
16 | 363589, 
17 | 362709, 
18 | 345606, 


10 | 403, 
11 | 416, 
12 | 452, 
13 | 423, 
14 | 403, 
15 | 417, 
16 | 408, 
17 | 346, 
18 | 363, 


10 | 465, 
11 | 431, 
12 | 412, 
13 | 439, 
14 | 391, 
15 | 387, 
16 | 364, 
17 | 370, 
18 | 368, 
19 | 423, 
20 | 428, 
21 | 513, 
22 | 531, 
23 | 782, 


5 | 324, 
6 | 383, 
7 | 535, 
8 | 501, 
9 | 333, 
10 | 475, 
11 | 471, 
12 | 468, 
13 | 386, 
14 | 416, 
15 | 378, 
16 | 371, 
17 | 376, 
18 | 347, 
19 | 387, 
20 | 446, 
21 | 484, 
22 | 546, 
23 | 735, 
24 | 1336, 
25 | 2641, 
26 | 2605, 

1 | 479, 
2 | 340, 
3 | 364, 
5 | 440, 
6 | 384, 
7 | 376, 
8 | 365, 
9 | 346, 
10 | 351, 
11 | 429, 
12 | 471, 
13 | 366, 
14 | 410, 
15 | 348, 
16 | 375, 
17 | 343, 
18 | 347, 
19 | 404, 
20 | 457, 
21 | 481, 
22 | 520, 
23 | 777, 
24 | 1336, 
25 | 2641, 
26 | 2605, 
