All timing in ms
1 << 15, 1 << 20, 1 << 25
=====================
1 | 471, 1856, 16039, 586172, 21158395, 
2 | 358, 1540, 9633, 320630, 11592504, 
4 | 441, 1121, 6883, 188596, 6763627, 
8 | 541, 1224, 6343, 137954, 4203977, 
16 | 1081, 1399, 5717, 138679, 3350576, 
32 | 3378, 2179, 5679, 122383, 2840687, 
64 | 13418, 21522, 27163, 146776, 2993946, 
128 | 22018, 61146, 149100, 581679, 3421294, 
