All timing in ms
1 << 3, 1 << 10, 1 << 12, 1 << 14, 1 << 15, 1 << 17, 1 << 19, 1 << 20
=====================
1 | 0, 1, 4, 18, 38, 159, 666, 1366, 
2 | 0, 0, 2, 10, 22, 91, 378, 770, 
4 | 0, 0, 2, 7, 16, 60, 243, 486, 
8 | 0, 0, 1, 5, 10, 45, 167, 371, 
16 | 0, 1, 2, 6, 11, 38, 149, 355, 
32 | 1, 1, 2, 7, 13, 46, 183, 342, 
64 | 5, 10, 10, 30, 19, 50, 258, 337, 
128 | 36, 87, 111, 83, 169, 133, 348, 741, 
